,place_name,place_id,lat,lng,type
115,Floristeria Nueva Venecia,ChIJI3Qo3QYpQg0R8_4TZMhrVCM,40.45994,-3.699932000000001,florist
116,Flores Yohana Alonso S.L.,ChIJX0gFhBwpQg0RNqVfPAcy3Uw,40.4587841,-3.6908352,florist
117,Floristería Edelvais,ChIJk-Fpwf0oQg0RYbKF9IYfT8Q,40.452261,-3.6967867,florist
118,FLORISTERIA JACARANDA,ChIJB7GzjRkpQg0Rn3LkT8qcbhk,40.462777,-3.687190999999999,florist
119,"Ohanami, Flores y Belleza",ChIJ7z7DEQQpQg0RqpZDfa4qW-U,40.459542,-3.696968399999999,florist
120,Flowers and Plants Moreno,ChIJXThsmg8pQg0RGmP6Ed7wFGA,40.46483239999999,-3.694725,florist
121,KOKEDAMAS RUBIO,ChIJKeZIcq4pQg0RqChW-1mH2XI,40.4589051,-3.7115568,florist
122,La Ponsetia,ChIJZ3PcBv0oQg0RJdJ4j09HtwE,40.4517388,-3.6948663,florist
123,Flores VincaperVinca,ChIJzTqG7IEoQg0ReiAQN43WTg0,40.471613,-3.701520099999999,florist
124,Flores Amalia Madrid,ChIJ5wEwJxcpQg0RaEBXCas5kwE,40.4667082,-3.6866302,florist
125,¡Porque sí!,ChIJD5bgrfgoQg0RlpKSeliRr8w,40.4482162,-3.702341600000001,florist
126,Malba,ChIJnbpq-hMpQg0RV3RqoT9Hn-s,40.4697113,-3.6876471,florist
127,Caslaflor SL,ChIJR3XNheMoQg0ROEKeQft1YyA,40.4493812,-3.689776599999999,florist
128,Los Sauces Floristería,ChIJzVulKR8pQg0ROv97ND_xL30,40.45904669999999,-3.6849459,florist
129,Las flores del Jardín,ChIJPy2esqspQg0RsGdWHAQdP2w,40.456687,-3.705594,florist
130,Floristeria Cloris,ChIJDXHTHwEpQg0RxYaeSEf5btw,40.4573328,-3.700339999999999,florist
131,Flores Inoma,ChIJz1gEawUpQg0RqcUDmBtJp0c,40.46292689999999,-3.694360199999999,florist
132,Zinnia Floristas,ChIJzXH90wIpQg0RbsQgqfFpfHg,40.4558594,-3.6927134,florist
133,Monceau Fleurs Madrid,ChIJh3-COP4oQg0RR1D3zSOONGk,40.45254860000001,-3.699526300000001,florist
134,Pili Flores Bernabeu,ChIJbSK1o-EoQg0RsZNRW76SQyw,40.4522749,-3.685789999999999,florist
