,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
31,Ivorypress,ChIJo1Whd_4oQg0R45h_HPGv9lo,40.4518796,-3.69802,book_store,,,,,,,
32,Papelería Librería Ortiz SL,ChIJP8fqgw8pQg0REhMvtsSnbag,40.4642657,-3.695025,book_store,,,,,,,
33,Librería Áurea Clasicos,ChIJ5ZHF31UoQg0RAiNMxIUZs1M,40.4485714,-3.704135599999999,book_store,,,,,,,
34,el kiosko,ChIJYeXrM6wpQg0RDdeG5VCueCI,40.4575741,-3.710157999999999,book_store,,,,,,,
35,Marepe Librería-Papelería-Copistería,ChIJjSHxDLIpQg0RbFTLYNw2u0c,40.457305,-3.713489999999999,book_store,,,,,,,
36,Abacus Books Raimundo,ChIJ38i35fgoQg0RHoYnWAlOCt0,40.44701889999999,-3.700799199999999,book_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 31, 31, 15, 10, 21, 36, 57, 63, 47, 31, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 31, 21, 15, 15, 26, 36, 36, 31, 15, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 36, 21, 10, 15, 21, 15, 57, 94, 21, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 31, 15, 5, 21, 31, 21, 47, 52, 15, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 63, 31, 10, 10, 15, 26, 57, 100, 84, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,Learn Japanese Today,ChIJzSpMLoM0DA0Rwen6Efpkelg,40.468498,-3.6853175,book_store,,,,,,,
38,Lita Hormiguita,ChIJ8ZKXHLopQg0RNS2AUJ_V1o8,40.4630659,-3.7178817,book_store,,,,,,,
39,Papelería Veguez,ChIJT6F4uQcpQg0RF-atG9CD6Wg,40.4622892,-3.701181,book_store,,,,,,,
40,Maviran,ChIJNbqEEgUpQg0R3A6M_Kje1_M,40.46262900000001,-3.694668,book_store,,,,,,,
41,Libros de texto - libros de segunda mano.,ChIJSdXjhQspQg0R0GXYSUDKHJY,40.4648331,-3.6959833,book_store,,,,,,,
42,LIBRERIA D.OPPORTUNITIES WORLD,ChIJJ7eXb8wpQg0Ro1PX203plv0,40.4648331,-3.6959833,book_store,,,,,,,
43,"Nos hemos cambiado a Capitan blanco argibay,10",ChIJq_6MPCUpQg0R35t--K_ciuE,40.4648331,-3.6959833,book_store,,,,,,,
